PRIORITY,ID_2MASS,RA_DEG,DEC_DEG,EPOCH,H_MAG,H_MAG_SOURCE,PM_RA,PM_DEC,PM_SOURCE,TYPE,APOGEE_COMMENT,AT1,AT2,AT3,APOGEE_COMMENT2
NaN,J18594205-3028409,284.92542,-30.47778,2000.0,12.168,2MASS,-0.800,-2.500,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18560818-3017341,284.03417,-30.29278,2000.0,12.178,2MASS,3.500,-1.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18555071-3158246,283.96125,-31.97333,2000.0,12.193,2MASS,-1.900,2.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18550071-3146290,283.75292,-31.77472,2000.0,12.194,2MASS,-3.100,0.400,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18581320-3040072,284.55500,-30.66861,2000.0,12.196,2MASS,1.900,-2.600,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18580753-3024519,284.53125,-30.41417,2000.0,12.198,2MASS,-0.500,-2.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18583053-3109324,284.62708,-31.15889,2000.0,12.210,2MASS,-1.200,-1.600,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18533649-3059261,283.40208,-30.99056,2000.0,12.219,2MASS,-1.800,-1.500,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18571815-3119394,284.32583,-31.32750,2000.0,12.231,2MASS,0.500,1.000,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18571613-3120184,284.31708,-31.33833,2000.0,12.253,2MASS,-0.300,1.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18521826-3112368,283.07625,-31.21000,2000.0,12.254,2MASS,-1.500,-2.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18555652-3022368,283.98542,-30.37667,2000.0,12.255,2MASS,-0.300,0.000,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18531460-3045380,283.31083,-30.76056,2000.0,12.260,2MASS,-2.300,1.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18552570-3041467,283.85708,-30.69611,2000.0,12.262,2MASS,-2.900,-1.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18573076-3101062,284.37833,-31.01833,2000.0,12.270,2MASS,1.600,3.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18570435-3008444,284.26833,-30.14556,2000.0,12.280,2MASS,-1.900,-0.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18554325-3021232,283.93000,-30.35639,2000.0,12.294,2MASS,3.900,2.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18534526-3039557,283.43875,-30.66528,2000.0,12.300,2MASS,-1.600,-2.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18552982-3028545,283.87417,-30.48167,2000.0,12.300,2MASS,-2.200,-0.500,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18582560-3030231,284.60667,-30.50639,2000.0,12.307,2MASS,-3.100,2.500,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J19000409-3126599,285.01708,-31.44972,2000.0,12.317,2MASS,-2.700,-0.600,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18525639-3100018,283.23500,-31.00028,2000.0,12.319,2MASS,-3.100,1.900,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18591547-3136465,284.81458,-31.61278,2000.0,12.328,2MASS,-1.600,-1.500,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
